Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-11-21,Minnesota Wild,2,Dallas Stars,3,OT,18532,2:38,
2016-11-21,Chicago Blackhawks,0,Edmonton Oilers,5,,18347,2:25,
2016-11-21,Tampa Bay Lightning,1,Nashville Predators,3,,17113,2:37,
2016-11-21,New York Rangers,5,Pittsburgh Penguins,2,,18632,2:24,
2016-11-21,New Jersey Devils,0,San Jose Sharks,4,,17286,2:11,
2016-11-22,New York Islanders,3,Anaheim Ducks,2,SO,15161,3:07,
2016-11-22,St. Louis Blues,4,Boston Bruins,2,,17565,2:32,
2016-11-22,Philadelphia Flyers,3,Florida Panthers,1,,15515,2:28,
2016-11-22,Ottawa Senators,4,Montreal Canadiens,3,,21288,2:45,
2016-11-22,Carolina Hurricanes,2,Toronto Maple Leafs,1,,18893,2:20,
2016-11-23,Vancouver Canucks,4,Arizona Coyotes,1,,11256,2:28,
2016-11-23,Detroit Red Wings,2,Buffalo Sabres,1,SO,18360,2:42,
2016-11-23,Calgary Flames,2,Columbus Blue Jackets,0,,13140,2:20,
2016-11-23,Edmonton Oilers,6,Colorado Avalanche,3,,15185,2:27,
2016-11-23,New York Islanders,2,Los Angeles Kings,4,,18230,2:26,
2016-11-23,Winnipeg Jets,1,Minnesota Wild,3,,19022,2:21,
2016-11-23,Toronto Maple Leafs,4,New Jersey Devils,5,SO,13752,2:47,
2016-11-23,Dallas Stars,2,Nashville Predators,5,,17119,2:30,
2016-11-23,Pittsburgh Penguins,6,New York Rangers,1,,18006,2:25,
2016-11-23,Chicago Blackhawks,1,San Jose Sharks,2,,17501,2:27,
2016-11-23,Philadelphia Flyers,2,Tampa Bay Lightning,4,,19092,2:41,
2016-11-23,St. Louis Blues,3,Washington Capitals,4,,18506,2:33,
2016-11-24,Carolina Hurricanes,1,Montreal Canadiens,2,,21288,2:26,
2016-11-24,Boston Bruins,1,Ottawa Senators,3,,17191,2:29,
