,Date,Home,Home_ELO,Home_ELO_xG,Away,Away_ELO,Away_ELO_xG,Expectation,Expectation_xG,G+/-,xG+/-,Points,Points_xG,Home_ELO_new,Home_ELO_xG_new,Away_ELO_new,Away_ELO_xG_new
94,2014-10-15,Arizona Coyotes,1487.26308493,1507.10586166,Edmonton Oilers,1477.09245063,1506.7222021,56.464196364,55.0745857515,2.0,0.77,56.464196364,55.0745857515,1491.45740154,1510.6998948,1472.89813402,1503.12816896
95,2014-10-15,Boston Bruins,1486.73531903,1500.08077723,,1493.2309048,1612.58750362,54.092935974,39.0273057064,1.0,1.9,54.092935974,39.0273057064,1492.24416672,1510.71397103,1487.72205711,1601.95430982
96,2014-10-15,Calgary Flames,1490.05890563,1477.35902696,,1487.72205711,1601.95430982,55.3526153258,37.3846115291,1.0,-1.56,55.3526153258,37.3846115291,1495.41659179,1472.87287357,1482.36437095,1606.4404632
97,2014-10-15,Chicago Blackhawks,1504.6059002,1491.89855623,Calgary Flames,1495.41659179,1472.87287357,56.3252823258,57.7128557076,-1.0,1.56,43.6747176742,42.2871442924,1499.51666533,1495.404684,1500.50582666,1469.36674581
98,2014-10-15,Detroit Red Wings,1494.46252038,1506.93861037,Boston Bruins,1492.24416672,1510.71397103,55.3357573583,54.4815276483,-1.0,-1.9,44.6642426417,45.5184723517,1489.54829747,1501.0250282,1497.15838963,1516.6275532
99,2014-10-15,Edmonton Oilers,1472.89813402,1503.12816896,,1482.36437095,1606.4404632,53.6680025321,40.2938259982,-2.0,-0.77,46.3319974679,59.7061740018,1464.07516657,1498.29290984,1491.1873384,1611.27572232
100,2014-10-16,Boston Bruins,1497.15838963,1516.6275532,,1491.1873384,1611.27572232,55.869028311,41.4992926617,-1.0,0.04,44.130971689,58.5007073383,1489.64591487,1523.64763808,1498.69981316,1604.25563744
101,2014-10-16,Carolina Hurricanes,1482.65281699,1491.27534049,,1498.69981316,1604.25563744,52.7248541445,38.9624550759,0.0,-0.65,94.5502917111,77.9249101519,1482.32583449,1486.59984588,1499.02679566,1608.93113205
102,2014-10-16,Colorado Avalanche,1489.9074097,1474.07012568,,1499.02679566,1608.93113205,53.717646116,36.0119352003,-1.0,-0.7,46.282353884,63.9880647997,1482.9596555,1469.74869346,1505.97454985,1613.25256428
103,2014-10-16,Dallas Stars,1502.343152,1487.6500445,,1505.97454985,1613.25256428,54.5020783581,37.2489856652,2.0,-0.02,54.5020783581,37.2489856652,1509.10697497,1483.18016622,1499.21072688,1617.72244256
104,2014-10-16,Los Angeles Kings,1513.25196436,1486.74907734,St. Louis Blues,1499.93979216,1506.96049384,56.9082122459,52.1269638717,0.0,-1.93,86.1835755082,95.7460722566,1512.69930738,1481.21056067,1500.49244914,1512.49901051
105,2014-10-16,Montreal Canadiens,1503.400304,1506.44353616,Boston Bruins,1489.64591487,1523.64763808,56.9706265187,52.5587982724,1.0,-0.04,56.9706265187,52.5587982724,1506.84265388,1502.2388323,1486.20356499,1527.85234194
106,2014-10-16,New Jersey Devils,1527.56201593,1495.97786398,,1499.21072688,1617.72244256,59.0172695151,37.7695329247,-3.0,0.01,40.9827304849,62.2304670753,1515.8092011,1503.44552003,1510.96354172,1610.25478651
107,2014-10-16,New York Islanders,1526.92063427,1525.39262997,San Jose Sharks,1529.60069383,1496.62527264,54.6378431473,59.0751865508,0.0,2.54,90.7243137054,81.8496268984,1526.54960682,1529.69044779,1529.97172128,1492.32745482
108,2014-10-16,New York Rangers,1489.46249984,1482.37869146,Carolina Hurricanes,1482.32583449,1486.59984588,56.034396695,54.4178808827,0.0,0.65,87.93120661,91.1642382347,1488.97974811,1486.02526099,1482.80858623,1482.95327635
